Entry ID	travelerNames	birthDate	deathDate	gender	tourStartYear	tourEndYear	placeOfVisit	coordinates	visitStartYear	visitStartMonth	visitStartDay	visitEndYear	visitEndMonth	visitEndDay	markers	travelIndex
0	Charles Abbot	1757	1829	Male	1788	1788	Dover	51.1275,1.312222222	1788	8	26	1788	8	26	dep.	0
0	Charles Abbot	1757	1829	Male	1788	1788	Turin	45.06666667,7.7	1788	9	10	1788	9	10		1
0	Charles Abbot	1757	1829	Male	1788	1788	Genoa	44.40718611,8.933983333	1788	9	13	1788	9	13		2
0	Charles Abbot	1757	1829	Male	1788	1788	Leghorn	43.55,10.31666667	1788	9		1788	9			3
0	Charles Abbot	1757	1829	Male	1788	1788	Pisa	43.70853,10.4036	1788	9		1788	9			4
0	Charles Abbot	1757	1829	Male	1788	1788	Florence	43.77138889,11.25416667	1788	9	15	1788	9	18		5
0	Charles Abbot	1757	1829	Male	1788	1788	Perugia	43.1121,12.3888	1788	9	20	1788	9	20		6
0	Charles Abbot	1757	1829	Male	1788	1788	Narni	42.517799,12.51640034	1788	9		1788	9			7
0	Charles Abbot	1757	1829	Male	1788	1788	Rome	41.89305556,12.48277778	1788	9	21	1788	9	28		8
0	Charles Abbot	1757	1829	Male	1788	1788	Naples	40.840141,14.25226021	1788	9	30	1788	10	6		9
0	Charles Abbot	1757	1829	Male	1788	1788	Rome	41.89305556,12.48277778	1788	10	7	1788	10	10		10
0	Charles Abbot	1757	1829	Male	1788	1788	Siena	43.31833333,11.33138889	1788	10	11	1788	10	11		11
0	Charles Abbot	1757	1829	Male	1788	1788	Florence	43.77138889,11.25416667	1788	10	12	1788	10	12		12
0	Charles Abbot	1757	1829	Male	1788	1788	Bologna	44.504822,11.34517956	1788	10	15	1788	10	15		13
0	Charles Abbot	1757	1829	Male	1788	1788	Venice	45.43811,12.31814957	1788	10	16	1788	10	20		14
0	Charles Abbot	1757	1829	Male	1788	1788	Vicenza	45.54672,11.5475	1788	10		1788	10			15
0	Charles Abbot	1757	1829	Male	1788	1788	Verona	45.43815833,10.99374167	1788	10	22	1788	10	22		16
0	Charles Abbot	1757	1829	Male	1788	1788	London	51.50853,-0.12574	1788	11	4	1788	11	4		17
1	John Farr Abbot	1756	1794	Male	1793	1794	England	51.50722222,-0.1275	1793	8	14	1793	8	14	dep.	0
1	John Farr Abbot	1756	1794	Male	1793	1794	Verona	45.43815833,10.99374167	1793	10	13	1793	10	13		1
1	John Farr Abbot	1756	1794	Male	1793	1794	Vicenza	45.54672,11.5475	1793	10		1793	10			2
1	John Farr Abbot	1756	1794	Male	1793	1794	Padua	45.40638889,11.87777778	1793	10	15	1793	10	15		3
1	John Farr Abbot	1756	1794	Male	1793	1794	Venice	45.43811,12.31814957	1793	10	16	1793	10	20		4
